id,host_id,latitude,longitude,neighbourhood_cleansed,property_type,room_type,price,accommodates,bedrooms,amenities,bathrooms,beds,review_scores_rating,accommodates_per_bedroom,accommodates_per_bed,price_per_accommodate,number_of_reviews,availability_30,availability_60,availability_90,availability_365
888038298563003925,311321908,52.37011,4.87909,Centrum-West,Room in hotel,Private room,269,3,1.0,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Pocket wifi"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""High chair"", ""Bed linens""]",1.0,3.0,4.75,3.0,1.0,89.66666666666667,8,23,42,58,323
50666229,400851790,52.35945194684348,4.861792612512684,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,254,4,2.0,"[""Dishes and silverware"", ""Fast wifi \u2013 98 Mbps"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Kitchenette"", ""Body soap"", ""Private living room"", ""Portable fans"", ""Dedicated workspace"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Mini fridge"", ""32 inch HDTV with Amazon Prime Video, Netflix"", ""Paid parking garage on premises \u2013 1 space"", ""Refrigerator"", ""Crib"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Lock on bedroom door"", ""Coffee maker: Nespresso"", ""Host greets you"", ""Park view"", ""Luggage dropoff allowed"", ""Hair dryer"", ""EV charger"", ""Conditioner"", ""Dishwasher"", ""Hot water kettle"", ""Folding or convertible high chair - always at the listing"", ""Hangers"", ""Dining table"", ""Essentials"", ""Heating"", ""Courtyard view"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",1.0,5.0,4.92,2.0,0.8,63.5,165,1,9,35,275
933523,5033331,52.356197,4.991435,IJburg - Zeeburgereiland,Private room in guesthouse,Private room,203,4,2.0,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Garden view"", ""Barbecue utensils"", ""Boat slip"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Free driveway parking on premises \u2013 1 space"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Babysitter recommendations"", ""Dedicated workspace"", ""Kitchen"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Private patio or balcony"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Stainless steel oven"", ""Organic soap body soap"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Mini fridge"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Crib"", ""Wine glasses"", ""Lake access"", ""Extra pillows and blankets"", ""Single level home"", ""Organic shampoo shampoo"", ""Clothing storage: closet and wardrobe"", ""Host greets you"", ""Beach access \u2013 Beachfront"", ""Luggage dropoff allowed"", ""Hair dryer"", ""EV charger"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Children\u2019s dinnerware"", ""Harbor view"", ""Pack \u2019n play/Travel crib"", ""Board games"", ""Long term stays allowed"", ""Outdoor dining area"", ""River view"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private entrance"", ""High chair"", ""Bed linens""]",1.5,2.0,4.92,2.0,2.0,50.75,140,6,10,10,10
1172323919522255228,139254470,52.36766385850816,4.85135729209804,De Baarsjes - Oud-West,Entire loft,Entire home/apt,375,4,2.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Lockbox"", ""Washer"", ""TV"", ""Hot tub"", ""Outdoor dining area"", ""Self check-in"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",2.0,2.0,4.838,2.0,2.0,93.75,0,4,29,59,60
20259345,21845977,52.36709,4.86575,De Baarsjes - Oud-West,Private room in guest suite,Private room,109,2,1.0,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Portable fans"", ""Dedicated workspace"", ""Indoor fireplace: electric"", ""Coffee maker"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Hot water"", ""Pocket wifi"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Hotel fridge...no noise refrigerator"", ""Mini fridge"", ""Wine glasses"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Heating"", ""Courtyard view"", ""Laundromat nearby"", ""First aid kit"", ""HDTV with Netflix"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",1.5,1.0,4.91,2.0,2.0,54.5,712,0,1,6,40
890205463079802598,51222903,52.36067379403431,4.850381153751004,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,195,2,1.0,"[""Smoke alarm"", ""Essentials"", ""Central heating"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Freezer"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Hot water""]",1.0,1.0,5.0,2.0,2.0,97.5,3,5,8,11,11
53756549,226624896,52.34191,4.90955,De Pijp - Rivierenbuurt,Entire serviced apartment,Entire home/apt,375,4,2.0,"[""Crib - available upon request"", ""Dishes and silverware"", ""Toaster"", ""Coffee"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Portable fans"", ""Dedicated workspace"", ""Private patio or balcony"", ""Kitchen"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Pets allowed"", ""Cooking basics"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Clothing storage: closet"", ""Microwave"", ""Coffee maker: espresso machine"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Single level home"", ""60 inch HDTV with Chromecast, HBO Max, premium cable, Netflix, Amazon Prime Video, Disney+, Apple TV"", ""Host greets you"", ""Sonos  Bluetooth sound system"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Game console: PS4"", ""Free dryer \u2013 In unit"", ""Exercise equipment"", ""Hair dryer"", ""Siemens gas stove"", ""Wifi"", ""Cleaning available during stay"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Board games"", ""Long term stays allowed"", ""Outdoor dining area"", ""Siemens refrigerator"", ""Freezer"", ""First aid kit"", ""Siemens oven"", ""Laundromat nearby"", ""Fire extinguisher"", ""High chair"", ""Bed linens"", ""Baking sheet""]",1.5,2.0,5.0,2.0,2.0,93.75,11,19,37,67,342
1236706734934419834,445633508,52.37985019745639,4.891072948240845,Centrum-West,Entire rental unit,Entire home/apt,293,4,1.0,"[""Smoke alarm"", ""Washer"", ""TV"", ""First aid kit"", ""Dedicated workspace"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",1.0,2.0,4.932,4.0,2.0,73.25,0,24,50,80,355
1080336668959004789,365865331,52.38423660910391,4.8943638515899845,Centrum-West,Boat,Entire home/apt,214,4,1.0,"[""Dishes and silverware"", ""Coffee"", ""Boat slip"", ""Dedicated workspace"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Cleaning products"", ""Free resort access"", ""Mini fridge"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Lake access"", ""Single level home"", ""Coffee maker: Nespresso"", ""Portable heater"", ""Bluetooth sound system"", ""Luggage dropoff allowed"", ""Keypad"", ""Self check-in"", ""Wifi"", ""Single oven"", ""Cleaning available during stay"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Dining table"", ""Essentials"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""First aid kit"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen""]",1.0,4.0,4.26,4.0,1.0,53.5,27,18,41,41,41
23219350,6973542,52.355507250063525,4.897487207923278,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,264,6,2.0,"[""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""50 inch HDTV with Chromecast"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Lockbox"", ""Refrigerator"", ""Extra pillows and blankets"", ""Park view"", ""Oven"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Self check-in"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",2.0,2.0,4.83,3.0,3.0,44.0,29,5,14,22,37
